university_name,undergrad_enrollment,grad_enrollment,year,total_enrollment
Omega Graduate School,null,79,2019,79
Oral Roberts University,3581,579,2019,4160
Oregon College of Oriental Medicine,null,229,2019,229
Oregon Health & Science University,776,2241,2019,3017
Oregon Institute of Technology,5172,141,2019,5313
Oregon State University,26247,5472,2019,31719
Oregon State University-Cascades Campus,1026,285,2019,1311
Orion Technical College,134,null,2019,134
Otis College of Art and Design,1125,58,2019,1183
Ottawa University-Kansas City,306,240,2019,546
Ottawa University-Milwaukee,132,104,2019,236
Ottawa University-Online,205,56,2019,261
Ottawa University-Ottawa,673,58,2019,731
Ottawa University-Surprise,721,85,2019,806
Otterbein University,2501,352,2019,2853
Ouachita Baptist University,1633,null,2019,1633
Our Lady of the Lake University,1368,1606,2019,2974
Ozark Christian College,675,null,2019,675
Ozarks Technical Community College,11762,null,2019,11762
Pace University,8528,4867,2019,13395
Pacific Bible College,43,null,2019,43
Pacific College,255,null,2019,255
Pacific College of Health and Science,185,851,2019,1036
Pacific College of Health and Science,232,426,2019,658
Pacific College of Health and Science,49,139,2019,188
Pacific Islands University,54,2,2019,56
Pacific Lutheran University,2695,367,2019,3062
Pacific Northwest College of Art,514,136,2019,650
Pacific Northwest University of Health Sciences,null,576,2019,576
Pacific Oaks College,494,669,2019,1163
Pacific Rim Christian University,116,29,2019,145
Pacific School of Religion,null,98,2019,98
Pacific States University,3,25,2019,28
Pacific Union College,906,3,2019,909
Pacific University,1864,1968,2019,3832
Pacifica Graduate Institute,null,829,2019,829
Paier College,89,null,2019,89
Paine College,448,null,2019,448
Palm Beach Atlantic University,2883,808,2019,3691
Palm Beach State College,31289,null,2019,31289
Palmer College of Chiropractic,29,2165,2019,2194
Palo Alto University,68,1007,2019,1075
Paradise Valley Community College,7900,null,2019,7900
Pardee RAND Graduate School,null,108,2019,108
Park University,9546,1869,2019,11415
Parker University,489,1046,2019,1535
Pasco-Hernando State College,11672,null,2019,11672
Pathways College,null,null,2019,null
Patrick Henry College,305,null,2019,305
Paul Quinn College,554,null,2019,554
Paul Smiths College of Arts and Science,716,null,2019,716
Payne Theological Seminary,null,190,2019,190
PCI College,114,null,2019,114
Peirce College,1089,89,2019,1178
Peninsula College,1966,null,2019,1966
Pennsylvania Academy of the Fine Arts,193,80,2019,273
Pennsylvania College of Art and Design,246,null,2019,246
Pennsylvania College of Health Sciences,1688,123,2019,1811
Pennsylvania College of Technology,4972,null,2019,4972
Pennsylvania Institute of Technology,374,null,2019,374
Pennsylvania State University-Main Campus,76099,15328,2019,91427
Pennsylvania State University-Penn State Abington,null,null,2019,null
Pennsylvania State University-Penn State Altoona,null,null,2019,null
Pennsylvania State University-Penn State Beaver,null,null,2019,null
Pennsylvania State University-Penn State Berks,null,null,2019,null
Pennsylvania State University-Penn State Brandywine,null,null,2019,null
Pennsylvania State University-Penn State DuBois,null,null,2019,null
Pennsylvania State University-Penn State Erie-Behrend College,null,null,2019,null
Pennsylvania State University-Penn State Fayette- Eberly,null,null,2019,null
Pennsylvania State University-Penn State Great Valley,null,null,2019,null
Pennsylvania State University-Penn State Greater Allegheny,null,null,2019,null
Pennsylvania State University-Penn State Harrisburg,null,null,2019,null
Pennsylvania State University-Penn State Hazleton,null,null,2019,null
Pennsylvania State University-Penn State Lehigh Valley,null,null,2019,null
Pennsylvania State University-Penn State Mont Alto,null,null,2019,null
Pennsylvania State University-Penn State New Kensington,null,null,2019,null
Pennsylvania State University-Penn State Schuylkill,null,null,2019,null
Pennsylvania State University-Penn State Scranton,null,null,2019,null
Pennsylvania State University-Penn State Shenango,null,null,2019,null
Pennsylvania State University-Penn State Wilkes-Barre,null,null,2019,null
Pennsylvania State University-Penn State York,null,null,2019,null
Pennsylvania State University-World Campus,null,null,2019,null
Pennsylvania Western University,null,null,2019,null
Pensacola State College,9713,null,2019,9713
Pentecostal Theological Seminary,109,346,2019,455
Pepperdine University,3583,5241,2019,8824
Peru State College,1869,240,2019,2109
Pfeiffer University,897,380,2019,1277
Philadelphia College of Osteopathic Medicine,null,2943,2019,2943
Philander Smith University,996,null,2019,996
Phillips Theological Seminary,null,160,2019,160
Phoenix Institute of Herbal Medicine & Acupuncture,null,99,2019,99
Phoenix Seminary,null,266,2019,266
Piedmont University,1283,1227,2019,2510
Pierce College District,6195,null,2019,6195
Pikes Peak State College,13655,null,2019,13655
Pillar College,494,110,2019,604
Pima Medical Institute-Tucson,1931,null,2019,1931
Pittsburg State University,5181,1464,2019,6645
Pittsburgh Technical College,1744,null,2019,1744
Pittsburgh Theological Seminary,null,199,2019,199
Pitzer College,1086,null,2019,1086
Platt College-Anaheim,459,null,2019,459
Platt College-Aurora,248,null,2019,248
Platt College-Los Angeles,727,null,2019,727
Platt College-Ontario,572,null,2019,572
Platt College-Riverside,473,null,2019,473
Plaza College,901,null,2019,901
Plymouth State University,3802,846,2019,4648
Point Loma Nazarene University,3203,1364,2019,4567
Point Park University,3100,829,2019,3929
Point University,2340,49,2019,2389
Polk State College,10827,null,2019,10827
Polytechnic University of Puerto Rico-Miami,71,84,2019,155
Polytechnic University of Puerto Rico-Orlando,159,29,2019,188
Pomona College,1637,null,2019,1637
Ponce Health Sciences University,null,586,2019,586
Ponce Health Sciences University-Centro Universitario de San Juan,null,99,2019,99
Ponce Health Sciences University-East,41,522,2019,563
Ponce Health Sciences University-St Louis,null,11,2019,11
Pontifex University,null,null,2019,null
Pontifical Catholic University of Puerto Rico-Arecibo,456,396,2019,852
Pontifical Catholic University of Puerto Rico-Mayaguez,1091,117,2019,1208
Pontifical Catholic University of Puerto Rico-Ponce,5346,1806,2019,7152
Pontifical College Josephinum,63,43,2019,106
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,null,84,2019,84
Pontifical John Paul II Institute for Studies on Marriage and Family,null,62,2019,62
Pope St John XXIII National Seminary,null,53,2019,53
Portland State University,20320,5001,2019,25321
Post University,9729,913,2019,10642
Potomac State College of West Virginia University,1300,null,2019,1300
Prairie View A & M University,8109,831,2019,8940
Pratt Institute-Main,3677,1392,2019,5069
Presbyterian College,1102,251,2019,1353
Presbyterian Theological Seminary in America,46,128,2019,174
Prescott College,503,490,2019,993
Presidio Graduate School,null,120,2019,120
Princeton Theological Seminary,null,364,2019,364
The Trustees of Princeton University,5422,2997,2019,8419
The Principia Corporation,407,null,2019,407
Professional Skills Institute,355,null,2019,355
Professional University Dr. Carlos J. Borrero Rios,null,46,2019,46
Providence Christian College,151,null,2019,151
Providence College,4096,522,2019,4618
Provo College,412,null,2019,412
Provo College-Idaho Falls Campus,null,null,2019,null
Pueblo Community College,6545,null,2019,6545
Puerto Rico Conservatory of Music,370,21,2019,391
Purdue University Fort Wayne,9697,511,2019,10208
Purdue University Global,28807,9331,2019,38138
Purdue University Northwest,9106,900,2019,10006
Purdue University-Main Campus,34596,10904,2019,45500
Queens University of Charlotte,1733,730,2019,2463
Quincy College,3364,null,2019,3364
Quincy University,1042,106,2019,1148
Quinnipiac University,6845,2863,2019,9708
Rabbi Jacob Joseph School,73,null,2019,73
Rabbinical Academy Mesivta Rabbi Chaim Berlin,157,134,2019,291
Rabbinical College Beth Shraga,41,null,2019,41
Rabbinical College Bobover Yeshiva Bnei Zion,369,34,2019,403
Rabbinical College of America,216,6,2019,222
Rabbinical College of Long Island,158,null,2019,158
Rabbinical College of Ohr Shimon Yisroel,221,null,2019,221
Rabbinical College Ohr Yisroel,122,null,2019,122
Rabbinical College Telshe,36,18,2019,54
Rabbinical Seminary Mkor Chaim,null,null,2019,null
Rabbinical Seminary of America,268,196,2019,464
Radford University,7967,3903,2019,11870
Ramapo College of New Jersey,5574,568,2019,6142
Randall University,313,18,2019,331
Randolph College,565,52,2019,617
Randolph-Macon College,1543,null,2019,1543
Ranken Technical College,1799,null,2019,1799
Rasmussen University-Florida,8772,36,2019,8808
Rasmussen University-Kansas,611,4,2019,615
Rasmussen University-Minnesota,3922,49,2019,3971
Rasmussen University-North Dakota,644,9,2019,653
Rasmussen University-Wisconsin,671,6,2019,677
Reach University,null,null,2019,null
Reconstructionist Rabbinical College,null,32,2019,32
Red Rocks Community College,6942,66,2019,7008
Redeemers University North America,null,null,2019,null
Reed College,1457,14,2019,1471
Reformed University,150,16,2019,166
Regent University,4408,5957,2019,10365
Regis College,1352,1842,2019,3194
Regis University,3500,3408,2019,6908
Reinhardt University,1430,91,2019,1521
Reiss-Davis Graduate School,null,44,2019,44
Relay Graduate School of Education,184,4092,2019,4276
Remington College-Dallas Campus,620,null,2019,620
Remington College-Online Dallas,null,null,2019,null
Remington College-Shreveport Campus,336,null,2019,336
Rensselaer at Hartford,null,89,2019,89
Rensselaer Polytechnic Institute,6241,1287,2019,7528
Renton Technical College,3755,null,2019,3755
Research College of Nursing,219,161,2019,380
Rhode Island College,6432,1091,2019,7523
Rhode Island School of Design,2009,492,2019,2501
Rhodes College,1973,37,2019,2010
Rice University,3989,3293,2019,7282
Richmont Graduate University,null,267,2019,267
Rider University,3770,904,2019,4674
Ringling College of Art and Design,1658,null,2019,1658
Rio Hondo College,19358,null,2019,19358
Rio Salado College,19103,null,2019,19103
Ripon College,787,null,2019,787
Riverside College of Health Careers,305,null,2019,305
Rivier University,1438,894,2019,2332
Roanoke College,2003,null,2019,2003
Robert Morris University,3770,838,2019,4608
Roberts Wesleyan University,1293,487,2019,1780
Rochester Institute of Technology,13313,2941,2019,16254
Rochester University,1044,43,2019,1087
Rockford University,982,222,2019,1204
Rockhurst University,2185,805,2019,2990
Rocky Mountain College,850,150,2019,1000
Rocky Mountain College of Art and Design,1454,null,2019,1454
Rocky Mountain University of Health Professions,null,969,2019,969
Rocky Vista University,null,1144,2019,1144
Roger Williams University,4523,315,2019,4838
Roger Williams University School of Law,null,487,2019,487
Rogers State University,3549,36,2019,3585
Rollins College,2598,529,2019,3127
Roosevelt University,2381,1690,2019,4071
Rosalind Franklin University of Medicine and Science,null,2102,2019,2102
RoseHulman Institute of Technology,2000,38,2019,2038
Roseman University of Health Sciences,598,1043,2019,1641
Rosemont College,518,384,2019,902
Rowan University,16011,3607,2019,19618
Rush University Medical Center,112,2643,2019,2755
Russell Sage College,1332,1116,2019,2448
Rust College,738,null,2019,738
Rutgers University-Camden,5739,1494,2019,7233
Rutgers University-New Brunswick,36158,14015,2019,50173
Rutgers University-Newark,9319,4286,2019,13605
Sacred Heart Major Seminary,279,171,2019,450
Sacred Heart Seminary and School of Theology,null,105,2019,105
Sacred Heart University,6158,2998,2019,9156
SAE Institute of Technology-Nashville,303,null,2019,303
Saginaw Valley State University,7476,775,2019,8251
Saint Ambrose University,2260,708,2019,2968
Saint Anselm College,2033,null,2019,2033
Saint Anthony College of Nursing,202,78,2019,280
Saint Augustine's University,1044,null,2019,1044
Saint Charles Borromeo Seminary-Overbrook,48,144,2019,192
Saint Cloud State University,11346,1703,2019,13049
Saint Edward's University,3443,533,2019,3976
Saint Elizabeth University,834,453,2019,1287
Saint Francis Medical Center College of Nursing,320,189,2019,509
Saint Francis University,2373,557,2019,2930
Saint John's Seminary,24,87,2019,111
Saint Johns River State College,7392,null,2019,7392
Saint Johns University,1629,98,2019,1727
Saint Joseph Seminary College,127,null,2019,127
Saint Joseph's College of Maine,1360,670,2019,2030
Saint Joseph's University,4784,2578,2019,7362
Saint Leo University,7843,3069,2019,10912
Saint Louis Community College,17294,null,2019,17294
Saint Louis University,8332,4467,2019,12799
Saint Martin's University,1389,240,2019,1629
Saint Mary's College,1452,128,2019,1580
Saint Mary's College of California,2646,1046,2019,3692
Saint Mary's University of Minnesota,1467,4081,2019,5548
Saint Mary-of-the-Woods College,767,327,2019,1094
Saint Meinrad School of Theology,null,177,2019,177
Saint Michael's College,1583,292,2019,1875
Saint Norbert College,2000,81,2019,2081
Saint Paul School of Theology,null,101,2019,101
Saint Peter's University,2423,810,2019,3233
Saint Vincent College,1560,179,2019,1739
Saint Vincent de Paul Regional Seminary,null,131,2019,131
Saint Vincent Seminary,null,61,2019,61
Saint Vladimirs Orthodox Theological Seminary,null,85,2019,85
Saint Xavier University,2957,666,2019,3623
Salem College,590,119,2019,709
Salem State University,6273,1433,2019,7706
Salem University,773,187,2019,960
Salisbury University,7686,931,2019,8617
Salish Kootenai College,690,null,2019,690
Salus University,null,1238,2019,1238
Salve Regina University,2167,604,2019,2771
Sam Houston State University,18805,2753,2019,21558
Samford University,3591,2101,2019,5692
Samuel Merritt University,768,1261,2019,2029
San Antonio College,19499,null,2019,19499
San Diego Christian College,488,63,2019,551
San Diego Global Knowledge University,77,3,2019,80
San Diego Mesa College,20712,null,2019,20712
San Diego State University,30848,4696,2019,35544
San Francisco Bay University,11,19,2019,30
San Francisco Conservatory of Music,233,219,2019,452
San Francisco State University,25924,3108,2019,29032
San Ignacio University,75,65,2019,140
San Jacinto Community College,32452,null,2019,32452
San Joaquin College of Law,null,171,2019,171
San Joaquin Valley College-Visalia,6621,null,2019,6621
San Jose State University,27905,8180,2019,36085
San Juan Bautista School of Medicine,56,274,2019,330
Sanford Burnham Prebys Medical Discovery Institute,null,null,2019,null
SANS Technology Institute,131,373,2019,504
Santa Ana College,27052,null,2019,27052
Santa Clara University,5694,2975,2019,8669
Santa Fe College,14915,null,2019,14915
Santa Monica College,27497,null,2019,27497
Sarah Lawrence College,1433,237,2019,1670
Sattler College,null,null,2019,null
Savannah College of Art and Design,12167,2673,2019,14840
Savannah State University,3482,186,2019,3668
Saybrook University,null,688,2019,688
Schiller International University,6,3,2019,9
School of the Art Institute of Chicago,2983,699,2019,3682
School of Visual Arts,3872,690,2019,4562
Schoolcraft Community College District,9230,null,2019,9230
Schreiner University,1257,85,2019,1342
Scripps College,1089,20,2019,1109
Seattle Central College,6743,null,2019,6743
Seattle Film Institute,80,26,2019,106
Seattle Institute of East Asian Medicine,null,34,2019,34
Seattle Pacific University,2717,812,2019,3529
Seattle University,4633,2566,2019,7199
Selma University,310,13,2019,323
Seminario Evangelico de Puerto Rico,null,147,2019,147
Seminole State College of Florida,17754,null,2019,17754
Sentara College of Health Sciences,321,49,2019,370
Sessions College for Professional Design,185,null,2019,185
Seton Hall University,6102,4117,2019,10219
Seton Hill University,1728,345,2019,2073
Sh'or Yoshuv Rabbinical College,162,9,2019,171
Shasta Bible College and Graduate School,29,12,2019,41
Shasta College,9307,null,2019,9307
Shaw University,1174,117,2019,1291
Shawnee State University,3466,175,2019,3641
Shenandoah University,2040,1751,2019,3791
Shepherd University,3200,354,2019,3554
Shepherds Theological Seminary,null,105,2019,105
Sherman College of Chiropractic,null,464,2019,464
Shippensburg University of Pennsylvania,5274,810,2019,6084
Shorter University,1394,93,2019,1487
Siena College,3188,108,2019,3296
Siena Heights University,2103,234,2019,2337
Simmons College of Kentucky,209,null,2019,209
Simmons University,1761,4774,2019,6535
Simpson College,1307,48,2019,1355
Simpson University,702,152,2019,854
Sinclair Community College,18794,null,2019,18794
Sinte Gleska University,484,65,2019,549
Sisseton Wahpeton College,119,null,2019,119
SIT Graduate Institute,null,77,2019,77
Sitting Bull College,257,28,2019,285
Skagit Valley College,5085,null,2019,5085
Skidmore College,2662,1,2019,2663
Skyline College,8803,null,2019,8803
Slippery Rock University of Pennsylvania,7440,1338,2019,8778
Smith Chason College,814,null,2019,814
Smith College,2531,363,2019,2894
Snow College,5383,null,2019,5383
Sofia University,9,1340,2019,1349
Soka University of America,406,13,2019,419
Solano Community College,9330,null,2019,9330
Sonoma State University,8143,744,2019,8887
Sonoran University of Health Sciences,null,348,2019,348
Sotheby's Institute of Art-NY,null,142,2019,142
South Baylo University,null,339,2019,339
South Carolina State University,2155,324,2019,2479
South College,2006,837,2019,2843
South Dakota School of Mines and Technology,2202,323,2019,2525
South Dakota State University,10067,1445,2019,11512
South Florida Bible College and Theological Seminary,222,88,2019,310
South Florida State College,2809,null,2019,2809
South Georgia State College,2346,null,2019,2346
South Seattle College,6141,null,2019,6141
South Texas College,33054,null,2019,33054
South Texas College of Law Houston,null,975,2019,975
South University-Austin,348,37,2019,385
South University-Columbia,532,265,2019,797
South University-High Point,null,5,2019,5
South University-Montgomery,251,56,2019,307
South University-Richmond,315,129,2019,444
South University-Savannah,294,594,2019,888
South University-Savannah Online,3488,2707,2019,6195
South University-Tampa,536,314,2019,850
South University-Virginia Beach,312,82,2019,394
South University-West Palm Beach,511,112,2019,623
Southeast Missouri Hospital College of Nursing and Health Sciences,154,null,2019,154
Southeast Missouri State University,9524,1113,2019,10637
Southeastern Baptist College,63,null,2019,63
Southeastern Baptist Theological Seminary,557,2607,2019,3164
Southeastern College-West Palm Beach,720,null,2019,720
Southeastern Free Will Baptist Bible College,59,null,2019,59
Southeastern Louisiana University,13257,963,2019,14220
Southeastern Oklahoma State University,3168,1881,2019,5049
Southeastern University,8717,1177,2019,9894
Southern Adventist University,2448,386,2019,2834
Southern Arkansas University Main Campus,3586,889,2019,4475
Southern California Institute of Architecture,240,257,2019,497
Southern California Institute of Technology,607,null,2019,607
Southern California Seminary,43,133,2019,176
Southern California University of Health Sciences,338,649,2019,987
Southern College of Optometry,null,536,2019,536
Southern Connecticut State University,7962,1855,2019,9817
Southern Illinois University-Carbondale,8466,3229,2019,11695
Southern Illinois University-Edwardsville,10400,2661,2019,13061
Southern Methodist University,6710,5114,2019,11824
Southern Nazarene University,1618,621,2019,2239
Southern New Hampshire University,92902,20612,2019,113514
Southern Oregon University,5088,1005,2019,6093
Southern University and A & M College,6324,816,2019,7140
Southern University at New Orleans,1894,415,2019,2309
Southern University Law Center,null,669,2019,669
Southern Utah University,10274,950,2019,11224
Southern Virginia University,1111,null,2019,1111
Southern Wesleyan University,1150,280,2019,1430
Southwest Baptist University,2588,693,2019,3281
Southwest Minnesota State University,6636,422,2019,7058
Southwest University at El Paso,1450,null,2019,1450
Southwestern Adventist University,673,14,2019,687
Southwestern Assemblies of God University,1683,367,2019,2050
Southwestern Christian College,106,null,2019,106
Southwestern Christian University,498,20,2019,518
Southwestern College,1359,153,2019,1512
Southwestern College,null,174,2019,174
Southwestern Law School,null,819,2019,819
Southwestern Oklahoma State University,4116,837,2019,4953
Southwestern University,1511,null,2019,1511
Spalding University,925,704,2019,1629
Spartan College of Aeronautics and Technology,673,null,2019,673
Spartanburg Methodist College,933,null,2019,933
Spelman College,2120,null,2019,2120
Spertus College,null,111,2019,111
Spokane Community College,10225,null,2019,10225
Spokane Falls Community College,5023,null,2019,5023
Spring Arbor University,1614,1719,2019,3333
Spring Hill College,1160,130,2019,1290
Springfield College,2175,935,2019,3110
Springfield College-Regional  Online  and Continuing Education,557,198,2019,755
St Bernard's School of Theology and Ministry,null,68,2019,68
St Bonaventure University,1826,578,2019,2404
St Catherine University,3153,1248,2019,4401
St. Lawrence University,2392,42,2019,2434
St Louis College of Health Careers-Fenton,470,null,2019,470
St Luke's College,235,null,2019,235
St. Olaf College,3072,null,2019,3072
St Petersburg College,28853,null,2019,28853
St. Andrews University,744,14,2019,758
St. Augustine College,959,null,2019,959
St. Francis College,2507,89,2019,2596
St. John Fisher University,2656,962,2019,3618
St. John Vianney College Seminary,46,22,2019,68
St. John's College,494,48,2019,542
St. John's College,317,46,2019,363
St. John's College-Department of Nursing,119,18,2019,137
St. John's University-New York,17086,4632,2019,21718
St. Joseph's University-New York,961,224,2019,1185
St. Mary's College of Maryland,1467,22,2019,1489
St. Mary's University,2270,1243,2019,3513
St. Thomas Aquinas College,1797,140,2019,1937
St. Thomas University,3100,1724,2019,4824
Stanbridge University,1211,193,2019,1404
Stanford University,6996,10253,2019,17249
Starr King School for the Ministry,null,88,2019,88
State College of Florida-Manatee-Sarasota,10096,null,2019,10096
State University of New York at Cortland,6295,539,2019,6834
State University of New York at New Paltz,6807,950,2019,7757
State University of New York at Oswego,6920,910,2019,7830
Stephen F Austin State University,11494,1475,2019,12969
Stephens College,480,172,2019,652
Sterling College,643,10,2019,653
Sterling College,146,null,2019,146
Stetson University,3183,1246,2019,4429
Stevens Institute of Technology,3659,3624,2019,7283
Stevens-The Institute of Business & Arts,122,null,2019,122
Stevenson University,3107,472,2019,3579
Stillman College,861,null,2019,861
Stockton University,8893,1041,2019,9934
Stone Child College,318,null,2019,318
Stonehill College,2467,33,2019,2500
Stony Brook University,17909,8905,2019,26814
Strayer University-Alabama,1511,291,2019,1802
Strayer University-Arkansas,404,92,2019,496
Strayer University-Delaware,352,52,2019,404
Strayer University-District of Columbia,654,161,2019,815
Strayer University-Florida,1766,444,2019,2210
Strayer University-Georgia,7601,1127,2019,8728
Strayer University-Global Region,7670,3938,2019,11608
Strayer University-Maryland,2684,540,2019,3224
Strayer University-Mississippi,561,64,2019,625
Strayer University-New Jersey,864,109,2019,973
Strayer University-North Carolina,5333,985,2019,6318
Strayer University-Pennsylvania,2103,286,2019,2389
Strayer University-South Carolina,2663,416,2019,3079
Strayer University-Tennessee,3632,489,2019,4121
Strayer University-Texas,2796,316,2019,3112
Strayer University-Virginia,4332,1274,2019,5606
Strayer University-West Virginia,251,18,2019,269
Suffolk University,4862,2307,2019,7169
Sul Ross State University,1849,557,2019,2406
Sullivan University,2624,694,2019,3318
SUM Bible College and Theological Seminary,459,167,2019,626
Summit Christian College,25,null,2019,25
Sumner College,329,null,2019,329
SUNY at Fredonia,4221,225,2019,4446
SUNY at Purchase College,4051,106,2019,4157
SUNY Brockport,6673,1251,2019,7924
SUNY Buffalo State University,7647,1011,2019,8658
SUNY College at Geneseo,5294,104,2019,5398
SUNY College at Plattsburgh,4871,387,2019,5258
SUNY College at Potsdam,3063,276,2019,3339
SUNY College of Agriculture and Technology at Cobleskill,2267,null,2019,2267
SUNY College of Environmental Science and Forestry,1812,397,2019,2209
SUNY College of Optometry,null,409,2019,409
SUNY College of Technology at Alfred,3780,null,2019,3780
SUNY College of Technology at Canton,3223,null,2019,3223
SUNY College of Technology at Delhi,2999,87,2019,3086
SUNY Downstate Health Sciences University,182,1717,2019,1899
SUNY Maritime College,1522,152,2019,1674
SUNY Morrisville,2781,null,2019,2781
SUNY Old Westbury,4809,317,2019,5126
SUNY Oneonta,6064,464,2019,6528
SUNY Polytechnic Institute,2216,790,2019,3006
Susquehanna University,2312,3,2019,2315
Swarthmore College,1594,null,2019,1594
Sweet Briar College,351,3,2019,354
Syracuse University,15275,7575,2019,22850
Tabor College,577,65,2019,642
Tacoma Community College,6095,null,2019,6095
Taft University System,2,633,2019,635
Talladega College,1230,9,2019,1239
Tallahassee Community College,11683,null,2019,11683
Talmudic College of Florida,31,1,2019,32
Talmudical Academy-New Jersey,60,null,2019,60
Talmudical Institute of Upstate New York,8,7,2019,15
Talmudical Seminary of Bobov,418,null,2019,418
Talmudical Seminary Oholei Torah,359,null,2019,359
Talmudical Yeshiva of Philadelphia,130,null,2019,130
Tarleton State University,11350,1816,2019,13166
Taylor University,2147,26,2019,2173
Teachers College Columbia University,null,4489,2019,4489
Teachers College of San Joaquin,588,260,2019,848
Telshe Yeshiva-Chicago,71,15,2019,86
Temple University,28726,10068,2019,38794
Tennessee State University,5875,2206,2019,8081
Tennessee Technological University,8957,1183,2019,10140
Tennessee Wesleyan University,1060,81,2019,1141
Texas A & M International University,7220,1085,2019,8305
Texas A & M University-College Station,53791,14935,2019,68726
Texas A & M University-Commerce,8390,3719,2019,12109
Texas A & M University-Corpus Christi,9323,2129,2019,11452
Texas A & M University-Kingsville,6178,1301,2019,7479
Texas A&M University-Central Texas,1954,486,2019,2440
Texas A&M University-San Antonio,5965,745,2019,6710
Texas A&M University-Texarkana,1716,352,2019,2068
Texas Chiropractic College Foundation Inc,null,267,2019,267
Texas Christian University,9474,1550,2019,11024
Texas College,940,null,2019,940
Texas Health and Science University,6,83,2019,89
Texas Lutheran University,1445,31,2019,1476
Texas Southern University,7092,1942,2019,9034
Texas State University,33917,4270,2019,38187
Texas Tech University,32125,6617,2019,38742
Texas Tech University Health Sciences Center,1478,3816,2019,5294
Texas Tech University Health Sciences Center-El Paso,300,465,2019,765
Texas Wesleyan University,1494,782,2019,2276
Texas Woman's University,10598,5288,2019,15886
The Catholic University of America,3279,2492,2019,5771
The Chicago School at Anaheim,null,454,2019,454
The Chicago School at Chicago,11,1296,2019,1307
The Chicago School at Dallas,null,55,2019,55
The Chicago School at Los Angeles,180,2819,2019,2999
The Chicago School at San Diego,null,101,2019,101
The Chicago School at Washington DC,null,732,2019,732
The Chicago School at Xavier University of Louisiana,null,36,2019,36
The Christ College of Nursing and Health Sciences,938,null,2019,938
The College of Health Care Professions-Northwest,1684,null,2019,1684
The College of Idaho,1077,14,2019,1091
The College of New Jersey,7189,632,2019,7821
The College of Saint Rose,2433,1571,2019,4004
The College of Saint Scholastica,2481,1425,2019,3906
The College of the Florida Keys,874,null,2019,874
The College of Westchester,906,null,2019,906
The College of Wooster,1942,null,2019,1942
The Colleges of Law at Santa Barbara,null,81,2019,81
The Colleges of Law at Ventura,null,187,2019,187
The Continents States University,2,1,2019,3
The Cooper Union for the Advancement of Science and Art,857,95,2019,952
The Evergreen State College,2576,278,2019,2854
The Juilliard School,588,372,2019,960
The King's University,316,294,2019,610
The Master's University and Seminary,1305,701,2019,2006
The Modern College of Design,211,null,2019,211
The New England Conservatory of Music,497,346,2019,843
The New School,7409,3023,2019,10432
The North Coast College,77,null,2019,77
The Rockefeller University,null,248,2019,248
The School of Architecture,null,23,2019,23
The Seattle School of Theology & Psychology,null,258,2019,258
The Southern Baptist Theological Seminary,894,3245,2019,4139
The Southwestern Baptist Theological Seminary,456,2530,2019,2986
The University of Alabama,32795,5305,2019,38100
The University of Findlay,3524,1190,2019,4714
The University of Montana,7714,2773,2019,10487
The University of Montana-Western,1358,null,2019,1358
The University of Olivet,1071,49,2019,1120
The University of Tampa,8697,931,2019,9628
The University of Tennessee Health Science Center,296,2955,2019,3251
The University of Tennessee Southern,890,14,2019,904
The University of Tennessee-Chattanooga,10297,1354,2019,11651
The University of Tennessee-Knoxville,23290,6170,2019,29460
The University of Tennessee-Martin,6763,517,2019,7280
The University of Texas at Arlington,34820,13815,2019,48635
The University of Texas at Austin,40163,10927,2019,51090
The University of Texas at Dallas,20996,8547,2019,29543
The University of Texas at El Paso,21427,3750,2019,25177
The University of Texas at San Antonio,28275,4319,2019,32594
The University of Texas at Tyler,6995,2622,2019,9617
The University of Texas Health Science Center at Houston,671,4646,2019,5317
The University of Texas Health Science Center at San Antonio,808,2578,2019,3386
The University of Texas MD Anderson Cancer Center,351,25,2019,376
The University of Texas Medical Branch at Galveston,786,2568,2019,3354
The University of Texas Permian Basin,4347,936,2019,5283
The University of Texas Rio Grande Valley,24965,4148,2019,29113
The University of the South,1695,73,2019,1768
The Wright Institute,null,487,2019,487
Theological Seminary of the Reformed Episcopal Church,null,15,2019,15
Thiel College,729,null,2019,729
Thomas Aquinas College,439,null,2019,439
Thomas College,1819,130,2019,1949
Thomas Edison State University,9544,683,2019,10227
Thomas Jefferson School of Law,null,219,2019,219
Thomas Jefferson University,3665,4361,2019,8026
Thomas M Cooley Law School,null,1208,2019,1208
Thomas More College of Liberal Arts,88,null,2019,88
Thomas More University,2030,208,2019,2238
Thomas University,935,586,2019,1521
Tiffin University,2182,744,2019,2926
Toccoa Falls College,1833,null,2019,1833
Torah Temimah Talmudical Seminary,25,null,2019,25
Tougaloo College,708,8,2019,716
Touro University,5689,5942,2019,11631
Touro University California,null,1378,2019,1378
Touro University Nevada,66,1464,2019,1530
Touro University Worldwide,526,1414,2019,1940
Towson University,19619,3090,2019,22709
Toyota Technological Institute at Chicago,null,43,2019,43
Transylvania University,946,null,2019,946
Trevecca Nazarene University,2350,1738,2019,4088
Tri-State Bible College,26,3,2019,29
Trine University,3808,162,2019,3970
Trine University-Regional/Non-Traditional Campuses,279,468,2019,747
Trinidad State College,1621,null,2019,1621
Trinity Baptist College,334,10,2019,344
Trinity Bible College and Graduate School,173,79,2019,252
